Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드
0,11680,개포동,2021-02-01,개포주공 6단지,185,53.06,12,1983,200000,185,0,11680,10300,1,개포로,516,0,11680,1,0.0,3122001
1,11680,개포동,2021-02-02,성원대치2단지아파트,12,39.53,1,1992,127000,12,0,11680,10300,1,개포로109길,9,0,11680,1,0.0,4166040
2,11680,개포동,2021-02-02,현대2,654,131.83,3,1986,270000,654,0,11680,10300,1,언주로,107,0,11680,2,0.0,3005086
3,11680,개포동,2021-02-03,삼익대청아파트,12,51.12,2,1992,145000,12,0,11680,10300,1,개포로109길,21,0,11680,1,0.0,4166040
4,11680,개포동,2021-02-03,현대1차101동~106동,653,128.62,9,1984,270000,653,0,11680,10300,1,개포로,303,0,11680,1,0.0,3122001
5,11680,개포동,2021-02-03,성원대치2단지아파트,12,49.86,4,1992,145000,12,0,11680,10300,1,개포로109길,9,0,11680,1,0.0,4166040
6,11680,개포동,2021-02-05,경남2차,649,182.2,11,1984,327000,649,0,11680,10300,1,언주로,110,0,11680,2,0.0,3005086
7,11680,개포동,2021-02-05,성원대치2단지아파트,12,39.53,14,1992,135000,12,0,11680,10300,1,개포로109길,9,0,11680,1,0.0,4166040
8,11680,개포동,2021-02-06,경남2차,649,186.16,14,1984,332000,649,0,11680,10300,1,언주로,110,0,11680,2,0.0,3005086
9,11680,개포동,2021-02-06,래미안블레스티지,1280,49.909,10,2019,173000,1280,0,11680,10300,1,선릉로,8,0,11680,0,,3122006
10,11680,개포동,2021-02-09,개포우성3차,652,104.43,6,1984,145000,652,0,11680,10300,1,개포로,307,0,11680,1,0.0,3122001
11,11680,개포동,2021-02-15,래미안블레스티지,1280,84.943,1,2019,251000,1280,0,11680,10300,1,선릉로,8,0,11680,0,,3122006
12,11680,개포동,2021-02-16,래미안블레스티지,1280,59.967,9,2019,210000,1280,0,11680,10300,1,선릉로,8,0,11680,0,,3122006
13,11680,개포동,2021-02-21,삼익대청아파트,12,60.0,6,1992,164000,12,0,11680,10300,1,개포로109길,21,0,11680,1,0.0,4166040
14,11680,개포동,2021-02-22,삼익대청아파트,12,60.0,4,1992,161500,12,0,11680,10300,1,개포로109길,21,0,11680,1,0.0,4166040
15,11680,개포동,2021-02-22,래미안블레스티지,1280,59.967,5,2019,195000,1280,0,11680,10300,1,선릉로,8,0,11680,0,,3122006
16,11680,개포동,2021-02-23,성원대치2단지아파트,12,33.18,8,1992,114000,12,0,11680,10300,1,개포로109길,9,0,11680,1,0.0,4166040
17,11680,개포동,2021-02-23,성원대치2단지아파트,12,39.53,14,1992,131000,12,0,11680,10300,1,개포로109길,9,0,11680,1,0.0,4166040
18,11680,개포동,2021-02-23,성원대치2단지아파트,12,33.18,9,1992,108000,12,0,11680,10300,1,개포로109길,9,0,11680,1,0.0,4166040
19,11680,개포동,2021-02-24,성원대치2단지아파트,12,39.53,6,1992,128000,12,0,11680,10300,1,개포로109길,9,0,11680,1,0.0,4166040
20,11680,개포동,2021-02-27,성원대치2단지아파트,12,33.18,8,1992,109000,12,0,11680,10300,1,개포로109길,9,0,11680,1,0.0,4166040
21,11680,개포동,2021-02-28,삼익대청아파트,12,60.0,6,1992,166000,12,0,11680,10300,1,개포로109길,21,0,11680,1,0.0,4166040
22,11680,개포동,2021-02-28,개포주공 6단지,185,73.02,7,1983,240500,185,0,11680,10300,1,개포로,516,0,11680,1,0.0,3122001
23,11680,논현동,2021-02-02,브라운스톤,43-3,232.54,6,2005,250000,43,3,11680,10800,1,학동로11길,13,0,11680,1,0.0,4166774
24,11680,논현동,2021-02-03,신동아(22),22,114.34,9,1997,200000,22,0,11680,10800,1,강남대로146길,28,0,11680,1,0.0,4166019
25,11680,논현동,2021-02-03,신동아(22),22,84.52,5,1997,165000,22,0,11680,10800,1,강남대로146길,28,0,11680,1,0.0,4166019
26,11680,논현동,2021-02-05,동부센트레빌,275,114.498,18,2003,220000,275,0,11680,10800,1,언주로116길,6,0,11680,1,0.0,4166567
27,11680,논현동,2021-02-06,신동아(22),22,35.73,7,1997,95000,22,0,11680,10800,1,강남대로146길,28,0,11680,1,0.0,4166019
28,11680,논현동,2021-02-07,동양파라곤,245,180.07,9,2004,305000,245,0,11680,10800,1,언주로130길,30,0,11680,1,0.0,4166574
29,11680,논현동,2021-02-08,스위트캐슬레지던스,55,164.04,3,2004,170000,55,0,11680,10800,1,학동로7길,6,0,11680,1,0.0,4166820
30,11680,논현동,2021-02-09,제이빌,108-2,75.12,5,2004,95000,108,2,11680,10800,1,학동로43길,30,0,11680,1,0.0,4166799
31,11680,논현동,2021-02-10,논현동프라임,192-3,139.35,4,2004,120500,192,3,11680,10800,1,논현로113길,5,0,11680,1,0.0,4166113
32,11680,논현동,2021-02-15,마일스디오빌,58-2,36.29,5,2004,35000,58,2,11680,10800,1,학동로,165,0,11680,3,0.0,3122011
33,11680,논현동,2021-02-18,동부센트레빌,275,84.9875,20,2003,179500,275,0,11680,10800,1,언주로116길,6,0,11680,1,0.0,4166567
34,11680,논현동,2021-02-27,논현 아이파크,225-6,47.46,3,2020,130000,225,6,11680,10800,1,언주로,615,0,11680,4,0.0,3005086
35,11680,대치동,2021-02-02,은마,316,76.79,7,1979,217000,316,0,11680,10600,1,삼성로,212,0,11680,4,0.0,3122005
36,11680,대치동,2021-02-02,동부센트레빌,670,145.83,3,2005,389000,670,0,11680,10600,1,선릉로,206,0,11680,5,0.0,3122006
37,11680,대치동,2021-02-03,동부센트레빌,670,145.83,21,2005,392000,670,0,11680,10600,1,선릉로,206,0,11680,5,0.0,3122006
38,11680,대치동,2021-02-08,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",63,84.69,7,1984,227000,63,0,11680,10600,1,영동대로,230,0,11680,4,0.0,2122002
39,11680,대치동,2021-02-08,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",63,84.69,7,1984,227000,63,0,11680,10600,1,영동대로,230,0,11680,4,0.0,2122002
40,11680,대치동,2021-02-09,은마,316,84.43,9,1979,240000,316,0,11680,10600,1,삼성로,212,0,11680,4,0.0,3122005
41,11680,대치동,2021-02-09,포스코더샵,902,164.88,5,2004,306000,902,0,11680,10600,1,삼성로,417,0,11680,4,0.0,3122005
42,11680,대치동,2021-02-10,은마,316,76.79,5,1979,220000,316,0,11680,10600,1,삼성로,212,0,11680,4,0.0,3122005
43,11680,대치동,2021-02-15,테헤란로대우아이빌(891-6),891-6,35.51,17,2004,43300,891,6,11680,10600,1,테헤란로,428,0,11680,3,0.0,3122010
44,11680,대치동,2021-02-16,한보미도맨션2,511,84.96,6,1985,259000,511,0,11680,10600,1,삼성로,150,0,11680,4,0.0,3122005
45,11680,대치동,2021-02-18,은마,316,76.79,6,1979,218000,316,0,11680,10600,1,삼성로,212,0,11680,4,0.0,3122005
46,11680,대치동,2021-02-18,대치아이파크,888,114.97,8,2008,315000,888,0,11680,10600,1,선릉로,222,0,11680,5,0.0,3122006
47,11680,대치동,2021-02-18,테헤란로대우아이빌(891-6),891-6,65.24,6,2004,55000,891,6,11680,10600,1,테헤란로,428,0,11680,3,0.0,3122010
48,11680,대치동,2021-02-23,개포우성2,500,127.78,11,1984,378000,500,0,11680,10600,1,선릉로,120,0,11680,0,,3122006
49,11680,대치동,2021-02-23,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",63,84.69,12,1984,233500,63,0,11680,10600,1,영동대로,230,0,11680,4,0.0,2122002
50,11680,대치동,2021-02-24,은마,316,84.43,6,1979,245000,316,0,11680,10600,1,삼성로,212,0,11680,4,0.0,3122005
51,11680,대치동,2021-02-25,테헤란로대우아이빌(891-6),891-6,33.11,4,2004,34500,891,6,11680,10600,1,테헤란로,428,0,11680,3,0.0,3122010
52,11680,대치동,2021-02-25,우정에쉐르,950,97.85,4,2004,150000,950,0,11680,10600,1,영동대로85길,17,0,11680,1,0.0,4166701
53,11680,도곡동,2021-02-01,한신엠비씨,895-8,84.74,6,1988,197800,895,8,11680,11800,1,논현로,205,0,11680,5,0.0,3121022
